pengguna;produk;rating;review;gambar
h***y;OPPO A18 4GB/128GB Smartphone (Garansi Resmi) XYZ8732OPVarian: Hitam;5;original asli, mantap.;
romadon;OPPO A3 8GB/128GB Online Exclusive (Garansi Resmi) - PromoVarian: Putih;5;barang sesuai. aman. mantap. datang lebih cepat dr prediksi. semoga awet.;gambar_produk/produk_7_8.webp
alexander;OPPO A3 8GB/128GB Online Exclusive (Garansi Resmi) - PromoVarian: Putih;5;Tidak ada ulasan;gambar_produk/produk_7_9.webp
Ali;HD Glass Screen Protector for OPPO A58;5;Susah cari yg pas buat A58. Akhirnya nemu di official store OPPO;gambar_produk/produk_8_0.webp
Totong;OPPO Reno12 F 8GB/256GB Smartphone (Garansi Resmi) XYZ8732OPVarian: Green;5;hp original.... berfungsi dengan baik;gambar_produk/produk_8_1.webp
i***a;[Kejar Diskon] OPPO Reno12 F 5G 12GB/256GB (Garansi Resmi)Varian: Hijau;5;sesuai deskripsi;gambar_produk/produk_8_2.webp
yuliana;[NEW] OPPO Reno13 F 5G 12GB/256GB & 8GB/256GB (Garansi Resmi)Varian: Ungu - 12GB+256GB;5;pengiriman cpt brang nyampek msh segel dn lngkap dg krtu gransi jg;gambar_produk/produk_8_3.webp
Adrian;OPPO A79 5G 8GB/256GB (Garansi Resmi)Varian: Hitam;5;Bagus;gambar_produk/produk_8_4.webp
I***a;OPPO A3 8GB/128GB Online Exclusive (Garansi Resmi) - PromoVarian: Putih;5;pengirimannya cepat, kondisi baik;gambar_produk/produk_8_5.webp
H***i;OPPO A79 5G 8GB/256GB (Garansi Resmi)Varian: Ungu;5;mantap, keren, barangnya oke banget;gambar_produk/produk_8_6.webp
Agung;OPPO VOOC TYPE-C CABLE DL129 WHITE;5;original asli. dari kualitas dan voic nyala;gambar_produk/produk_8_7.webp
Obed;[NEW] OPPO A3 8GB/128GB Online Exclusive (Garansi Resmi)Varian: Ungu;5;kerennnnnnnnnnnn;
original;" yaiyalah belinya di OPPO langsung hehehehe""";gambar_produk/produk_8_8.webp;;
Irwan;OPPO A18 4GB/128GB Smartphone (Garansi Resmi) XYZ8732OPVarian: Biru Muda;5;barang sesuai, garansi resmi, responnya cepet, terimakasih 😁😁;gambar_produk/produk_8_9.webp
D***a;HD Glass Screen Protector for OPPO A58;1;tisu basahnya sudah mengering, dan bawaan tempered glassnya ada sehelai rambut dan debu;gambar_produk/produk_9_0.webp
Y***a;OPPO A3x 4GB(+4GB)/128GB (Garansi Resmi) XYZ8732OPVarian: Biru;5;lucwulfig sohos 9hw uzigobwg zigobzkx sugivzv sigowbx xgohos9yw z7fuztjfb ig9xhohs;gambar_produk/produk_9_1.webp
Abdi;OPPO A18 4GB/128GB Smartphone (Garansi Resmi) XYZ8732OPVarian: Biru Muda;5;Pengiriman agak lambat, dan respon admin lambat;gambar_produk/produk_9_2.webp
H***f;HD Glass Screen Protector for OPPO A78;4;agak kecewa di bagian kamera depan nya ketutup tempered glass nya tapi gpp tetep gacorr;gambar_produk/produk_9_3.webp
H***f;OPPO A78 Diamond Protective Case;5;Keren euy tebel parah;gambar_produk/produk_9_4.webp
Afdell;OPPO A3 8GB/128GB Online Exclusive (Garansi Resmi) - PromoVarian: Ungu;5;proses agak lama, pengiriman aman, barang utuh diterima;gambar_produk/produk_9_5.webp
M***d;OPPO VOOC TYPE-C CABLE DL129 WHITE;5;Barang original dan berfungsi dengan baik serta vooc berjalan seperti kabel bawaan;gambar_produk/produk_9_6.webp
Cosmic;[NEW] OPPO A3 8GB/128GB Online Exclusive (Garansi Resmi)Varian: Putih;5;produk original sesuai deskripsi, segel utuh bergaransi, semoga awet sesuai rating mil-std nya...;gambar_produk/produk_9_7.webp
a***m;[NEW] OPPO A3 8GB/128GB Online Exclusive (Garansi Resmi)Varian: Hitam;4;bbbbbbbbbb bbbbbbbbbb bbbbbbbbbb bbbbbbbbbb bbbbbbbbbb bbbbbbbbbb bbbbbbbbbb bbbbbbbbbb bbbbbbbbbb;gambar_produk/produk_9_8.webp
S***n;OPPO A3 8GB/128GB Online Exclusive (Garansi Resmi) - PromoVarian: Hitam;5;barang original desain mantap...... terimakasih;gambar_produk/produk_9_9.webp
Dimas;[NEW] OPPO A3 8GB/128GB Online Exclusive (Garansi Resmi)Varian: Ungu;5;barang mantap ori;gambar_produk/produk_10_0.webp
ilyas;OPPO A3x 4GB(+4GB)/64GB (Garansi Resmi)  XYZ8732OPVarian: Merah;5;barang sesuai pesanan;gambar_produk/produk_10_1.webp
R***a;[NEW] OPPO A3 8GB/128GB Online Exclusive (Garansi Resmi)Varian: Hitam;4;Alhamdulillah sampai dengan selamat, terimakasih seller.;gambar_produk/produk_10_2.webp
a***n;[Kejar Diskon] OPPO A38 6GB/128GB (Garansi Resmi)Varian: Hitam;5;Pelayan nya sangat bagus , pengiriman juga satset .. pokoe mantapppp;gambar_produk/produk_10_3.webp
B***y;OPPO A5 Pro 5G 8GB+256GB (Garansi Resmi)Varian: Cokelat;5;Pengiriman cepat, barang segel utuh, bekerja dengan semestinya;gambar_produk/produk_10_4.webp
Roby;OPPO Half-Ear Earphones MH135 White 3.5mm;5;respond cepat dan packing rapih;gambar_produk/produk_10_5.webp
g***a;[NEW] OPPO A3 8GB/128GB Online Exclusive (Garansi Resmi)Varian: Ungu;5;Berfungsi dengan baik, pengiriman cepat;gambar_produk/produk_10_6.webp
wiwik;OPPO A38 4GB/128GB (Garansi Resmi)Varian: Hitam;5;barang bersegel, pengiriman cepat, trims;
P***o;OPPO A3 8GB/128GB Online Exclusive (Garansi Resmi)Varian: Hitam;5;Packing rapih, pengiriman cepet respon juga cepet, barang asil dan masih segel..👍🏻👍🏻;gambar_produk/produk_10_8.webp
N***a;OPPO A38 4GB/128GB (Garansi Resmi)Varian: Gold;3;Tidak ada ulasan;
D***a;OPPO Half-Ear Earphones MH135 White 3.5mm;5;kenapa ga dari tahun jebot aja gw beli headset beginian, gak nyesel pertama kali beli lsg dari official nya.;gambar_produk/produk_11_0.webp
S***h;OPPO A58 NFC 8GB/128GB (Garansi Resmi)Varian: Hijau+TebusMrh;5;HP ori dan spesifikasi sesuai deskripsi. Desain dan warnanya bagus. Pengiriman cepat dan dikonfirmasi dulu saat dikirim. 👍;gambar_produk/produk_11_1.webp
Yolla;OPPO Pad Air (Garansi Resmi)Varian: Grey;5;barang masih di segel. di bungkus dengan rapi. paking aman. segera dibuka, dicoba dan lancar. maaf baru review sekarang.;gambar_produk/produk_11_2.webp
Yulianto;OPPO A3 8GB/128GB Online Exclusive (Garansi Resmi)Varian: Ungu;5;ok, pengiriman cepat walau menjelang lebaran;gambar_produk/produk_11_3.webp
Lorensius;[PROMO] OPPO Reno11 5G 8GB/256GB (Garansi Resmi)Varian: Abu-abu;5;goid;
D***a;OPPO Reno11 5G 8GB/256GB (Garansi Resmi)Varian: Hitam;5;mantebh bener, transaksi lancar barang dikirim dengan baik;gambar_produk/produk_11_5.webp
Abdul;OPPO A60 8GB+8GB/128GB & 256GB (Garansi Resmi) XYZ8732OPVarian: Ungu 128GB;5;Terimakasih pesanan sudah sampai dan diterima dengan baik;gambar_produk/produk_11_6.webp
Taufiq;OPPO A3 8GB/128GB Online Exclusive (Garansi Resmi) - PromoVarian: Hitam;5;Mantaaaap sudah sampai pasti ory dapat softcase;gambar_produk/produk_11_7.webp
E***n;OPPO A79 5G 8GB/256GB (Garansi Resmi)Varian: Hitam;5;barang original, pengiriman cepat dan lumayan bonusannya terima kasih seller;gambar_produk/produk_11_8.webp
u***f;OPPO A78 8GB(+8GB)/256GB Smartphone (Garansi Resmi)Varian: Green;5;seller ramah. pengiriman cepat. kualitas barang sangat baik;gambar_produk/produk_11_9.webp
A***n;[NEW] OPPO A3 8GB/128GB Online Exclusive (Garansi Resmi)Varian: Ungu;5;Barang kondisi baik dan berfungsi dg normal;gambar_produk/produk_12_0.webp
H***f;OPPO A3 8GB/128GB Online Exclusive (Garansi Resmi) - PromoVarian: Hitam;5;Tidak ada ulasan;gambar_produk/produk_12_1.webp
W***i;[NEW] OPPO A3 8GB/128GB Online Exclusive (Garansi Resmi)Varian: Putih;5;pengalaman pertama beli gadget online .. ;
Alhamdulillah ; ORI masih segel dan berfungsi dengan baik ..;;;
"kurirnya juga langganan top banget""";gambar_produk/produk_12_2.webp;;;
Pande;[PROMO] OPPO Reno11 5G 8GB/256GB (Garansi Resmi)Varian: Hijau;5;barang masih tersegel dan packagingnya mantap sesuai dengan ekspektasi. cuma kurirnya saja yg agak lama pengirimannya.;
Rudi;OPPO A79 5G 8GB/256GB (Garansi Resmi)Varian: Hitam;5;pengiriman cepat seller fast respon dan barang tersegel dengan rapi (100%original) pastikan tambahkan asuransi dan proteksi biar tidak terjadi hal yg tidak terduga;gambar_produk/produk_12_4.webp
